    /um         	  
6.666667e+00	3.152684e+00
6.700000e+00	3.319892e+00
6.733333e+00	3.349952e+00
6.766667e+00	3.283258e+00
6.800000e+00	3.173812e+00
6.833333e+00	3.227853e+00
6.866666e+00	3.253308e+00
6.900000e+00	3.284891e+00
6.933333e+00	3.450477e+00
6.966667e+00	3.176683e+00
7.000000e+00	3.184080e+00
7.033333e+00	3.134472e+00
7.066667e+00	3.229704e+00
7.100000e+00	3.208274e+00
7.133333e+00	3.233750e+00
7.166666e+00	3.310610e+00
7.200000e+00	3.207897e+00
7.233333e+00	3.207069e+00
7.266667e+00	3.173206e+00
7.300000e+00	3.084548e+00
7.333333e+00	3.097424e+00
7.366666e+00	3.282173e+00
7.400000e+00	3.152924e+00
7.433334e+00	3.238176e+00
7.466667e+00	3.073129e+00
7.500000e+00	3.130384e+00
7.533333e+00	3.017436e+00
7.566666e+00	3.268426e+00
7.600000e+00	3.170760e+00
7.633334e+00	3.350125e+00
7.666666e+00	3.159907e+00
7.700000e+00	3.047979e+00
7.733333e+00	3.262683e+00
7.766666e+00	3.177617e+00
7.800000e+00	2.970682e+00
7.833334e+00	3.227002e+00
7.866666e+00	2.986026e+00
7.900000e+00	3.199863e+00
7.933333e+00	2.847809e+00
7.966666e+00	3.180714e+00
8.000001e+00	3.058143e+00
8.033333e+00	3.001064e+00
8.066666e+00	3.163018e+00
8.100000e+00	3.011383e+00
8.133333e+00	3.037728e+00
8.166667e+00	3.070970e+00
8.200000e+00	3.199193e+00
8.233333e+00	3.106992e+00
8.266666e+00	3.010122e+00
8.300000e+00	3.050923e+00
8.333334e+00	3.035982e+00
8.366666e+00	3.120994e+00
8.400000e+00	3.062536e+00
8.433334e+00	3.152582e+00
8.466666e+00	2.994098e+00
8.500001e+00	3.153252e+00
8.533333e+00	3.026267e+00
