freq(/um)	log10(PSD/nm^4)
6.633333e+00	6.011296e+00
6.666667e+00	6.048098e+00
6.700000e+00	6.030920e+00
6.733333e+00	6.003686e+00
6.766667e+00	5.951961e+00
6.800000e+00	5.941647e+00
6.833333e+00	5.964272e+00
6.866666e+00	6.013786e+00
6.900000e+00	5.983467e+00
6.933333e+00	5.953149e+00
6.966667e+00	5.922830e+00
7.000000e+00	5.956840e+00
7.033333e+00	5.939429e+00
7.066667e+00	5.922017e+00
7.100000e+00	5.913274e+00
7.133333e+00	5.910820e+00
7.166666e+00	5.908365e+00
7.200000e+00	5.902279e+00
7.233333e+00	5.894026e+00
7.266667e+00	5.885772e+00
7.300000e+00	5.877519e+00
7.333333e+00	5.869265e+00
7.366666e+00	5.861731e+00
7.400000e+00	5.855486e+00
7.433334e+00	5.849241e+00
7.466667e+00	5.842997e+00
7.500000e+00	5.836752e+00
7.533333e+00	5.830507e+00
7.566666e+00	5.824263e+00
7.600000e+00	5.812023e+00
7.633334e+00	5.790616e+00
7.666666e+00	5.769700e+00
7.700000e+00	5.767124e+00
7.733333e+00	5.764548e+00
7.766666e+00	5.761972e+00
7.800000e+00	5.759397e+00
7.833334e+00	5.756821e+00
7.866666e+00	5.752921e+00
7.900000e+00	5.747042e+00
7.933333e+00	5.741162e+00
7.966666e+00	5.735283e+00
8.000001e+00	5.729403e+00
8.033333e+00	5.724551e+00
8.066666e+00	5.720855e+00
8.100000e+00	5.717160e+00
8.133333e+00	5.713464e+00
8.166667e+00	5.709769e+00
8.200000e+00	5.706074e+00
8.233333e+00	5.698599e+00
8.266666e+00	5.688465e+00
8.300000e+00	5.678330e+00
8.333334e+00	5.668195e+00
8.366666e+00	5.663543e+00
8.400000e+00	5.671891e+00
8.433334e+00	5.667479e+00
8.466666e+00	5.653026e+00
8.500001e+00	5.638573e+00
8.533333e+00	5.624534e+00
